col0,col1,col2,col3,col4
Eaglesvale Senior School,independent school,Zimbabwe,Harare,1911-01-01
Downside School,independent school,United Kingdom,Mendip,1945-01-01
De La Salle College,independent school,Jersey,Saint Saviour,1917-01-01
Cranbrook School,independent school,Australia,New South Wales,1918-01-01
Collegiate School,independent school,United States of America,Manhattan,1628-01-01
Baldwin School,independent school,United States of America,Pennsylvania,1888-01-01
Abingdon School,independent school,United Kingdom,Oxfordshire,1980-09-30
Edinburgh Academy,independent school,United Kingdom,City of Edinburgh,1824-01-01
Marlborough College,independent school,United Kingdom,Marlborough,1843-01-01
Winchester College,independent school,United Kingdom,Winchester,1382-01-01
