col0,col1,col2,col3,col4
Hong Kong Red Cross,Hong Kong Red Cross Headquarters Run Run Shaw Building,Yang Ti-liang,Hong Kong,1950-07-12
Pakistan Red Crescent Society,Islamabad,Arif Alvi,Pakistan,1947-01-01
New Zealand Red Cross,Wellington,Kerry Nickels,New Zealand,1931-01-01
Bulgarian Red Cross,Sofia,Hristo Grigorov,Bulgaria,1885-09-20
German Red Cross,Berlin,Gerda Hasselfeldt,Germany,1921-01-25
Red Cross Society of China,Beijing,Chen Zhu,People's Republic of China,1904-03-10
French Red Cross,Paris,Jean-Jacques Eledjam,France,1864-05-25
Kenya Red Cross Society,Nairobi,Uhuru Kenyatta,Kenya,1965-01-01
Austrian Red Cross,Vienna,Gerald Schöpfer,Austria,1880-03-14
Swiss Red Cross,Bern,Thomas Heiniger,Switzerland,1866-07-17
Italian Red Cross,Rome,Francesco Rocca,Italy,1864-01-01
American Red Cross,"Washington, D.C.",Bonnie McElveen-Hunter,United States of America,1881-05-21
