col0,col1,col2,col3,col4,col5
A Study to Find Out How Much Mirabegron Gets Into the Body After Dosing With a Tablet Formulation,phase I clinical trial,12,55,Netherlands,2006-02-01
Study of BIA 9-1067 to Investigate Its Effect on Levodopa Pharmacokinetic,phase I clinical trial,82,45,Portugal,2009-11-01
Effect of BIA 9-1067 on the Pharmacokinetics of Repaglinide,phase I clinical trial,27,45,Portugal,2009-06-01
The Effect of Liraglutide Adjunct to Insulin on Glucagon Response to Hypoglycaemia in Subjects With Type 1 Diabetes,phase I clinical trial,45,64,Austria,2012-02-01
"To Compare the Pharmacokinetics Profiles of ISO 20, IBU 200 and IBU Plus ISO Combinations 200 + 20",phase I clinical trial,12,27,Italy,2011-10-01
An Exploratory Study Comparing Two Nicotine Inhalers,phase I clinical trial,36,50,Sweden,2011-11-01
"Safety, Tolerability and Pharmacodynamic Activity of JNJ-26528398 in Healthy Male Participants",phase I clinical trial,19,35,Belgium,2011-11-01
Safety and Pharmacodynamics of SEL-068 Vaccine in Smokers and Non-Smokers,phase I clinical trial,82,60,Belgium,2011-11-01
"Single Dose Pharmacokinetics of Repaglinide, Metformin and Combination Tablet in Fed Healthy Volunteers",phase I clinical trial,93,45,United States of America,2006-06-01
A Study of Drug-Drug Interaction Between Darunavir and Danoprevir Administered Together With Low-Dose Ritonavir in Healthy Volunteers,phase I clinical trial,40,55,United States of America,2012-02-01
Healthy Normal Volunteers Looking at Exposure and Effects of Multiple Doses of Technosphere® Insulin (TI) Using the Gen2C Inhaler,phase I clinical trial,35,55,United States of America,2011-12-01
