col0,col1,col2,col3,col4,col5,col6
Direct Énergie 2017,2017-12-31,cycling team season,2017 Tropicale Amissa Bongo,Jean-René Bernaudeau,Direct Énergie 2016,Direct Énergie 2018
Manzana Postobón 2017,2017-12-31,cycling team season,"2017 Volta ao Alentejo, Stage 3",Luisa Fernanda Ríos,Manzana Postobón 2016,Manzana Postobón 2018
UnitedHealthcare 2017,2017-12-31,cycling team season,"2017 Herald Sun Tour, Stage 3",Michael Tamayo,UnitedHealthcare 2016,UnitedHealthcare 2018
Gazprom-RusVelo 2017,2017-12-31,cycling team season,"2017 Tour of Slovakia, stage 4",Renat Khamidulin,Gazprom-RusVelo 2016,Gazprom-RusVelo 2018
Fortuneo-Oscaro 2017,2017-12-31,cycling team season,2017 Trofeo Palma,Emmanuel Hubert,Fortuneo-Vital Concept 2016,Fortuneo-Samsic 2018
Caja Rural-Seguros RGA 2017,2017-12-31,cycling team season,2017 Five Rings of Moscow,Juan Manuel Hernández,Caja Rural-Seguros RGA 2016,Caja Rural-Seguros RGA 2018
Cofidis 2017,2017-12-31,cycling team season,"2017 Volta a Catalunya, Stage 4",Yvon Sanquer,Cofidis 2016,Cofidis 2018
Direct Énergie 2017,2017-12-31,UCI Professional Continental Team,2017 Tropicale Amissa Bongo,Jean-René Bernaudeau,Direct Énergie 2016,Direct Énergie 2018
Manzana Postobón 2017,2017-12-31,UCI Professional Continental Team,"2017 Volta ao Alentejo, Stage 3",Luisa Fernanda Ríos,Manzana Postobón 2016,Manzana Postobón 2018
UnitedHealthcare 2017,2017-12-31,UCI Professional Continental Team,"2017 Herald Sun Tour, Stage 3",Michael Tamayo,UnitedHealthcare 2016,UnitedHealthcare 2018
Gazprom-RusVelo 2017,2017-12-31,UCI Professional Continental Team,"2017 Tour of Slovakia, stage 4",Renat Khamidulin,Gazprom-RusVelo 2016,Gazprom-RusVelo 2018
