col0,col1,col2,col3
William Lovell Church of England Academy,Stickney,2012-09-01,Diocese of Lincoln
William Farr CofE Comprehensive School,Lincoln,1952-01-01,Diocese of Lincoln
St Lawrence Academy,North Lincolnshire,2008-09-01,Diocese of Lincoln
The Open Academy,Norfolk,2008-09-01,Diocese of Norwich
Sacred Heart Catholic School,Camberwell,1959-01-01,Roman Catholic Archdiocese of Southwark
Saint John Bosco College,London Borough of Wandsworth,2011-09-01,Roman Catholic Archdiocese of Southwark
La Retraite Roman Catholic Girls' School,London Borough of Lambeth,1880-01-01,Roman Catholic Archdiocese of Southwark
St Edmund's Catholic School,Dover,1962-01-01,Roman Catholic Archdiocese of Southwark
St Paul's Academy,Abbey Wood,2005-09-01,Roman Catholic Archdiocese of Southwark
Thomas More Catholic School,London Borough of Croydon,1962-01-01,Roman Catholic Archdiocese of Southwark
St Catherine's Catholic School,London,1953-01-01,Roman Catholic Archdiocese of Southwark
