col0,col1,col2,col3
RecordTV,Grupo Record,1953-09-27,Edir Macedo
Nine Network,Nine Entertainment Co.,1956-09-16,Nine Entertainment Co.
Sveriges Television,"Foundation Management for SR, SVT, and UR",1956-09-04,"Foundation Management for SR, SVT, and UR"
Cartoon Network,Turner Broadcasting System,1992-01-01,Turner Broadcasting System
Rede Tupi de Televisão,Diários Associados,1950-09-18,Diários Associados
Record News,Grupo Record,2007-09-27,Grupo Record
Télévision Algérienne,Public Establishment of Television,1956-12-24,Public Establishment of Television
Outre-Mer 1ère,France Télévisions,1954-01-01,France Télévisions
UPN,CBS Corporation,1995-01-01,CBS Corporation
TX Network,TV Tokyo,1982-01-01,TV Tokyo
Universal TV,NBCUniversal,2004-01-01,NBCUniversal
Telemundo,NBCUniversal,1954-01-01,NBCUniversal
Eurosport,Discovery Inc.,1989-01-01,Discovery Inc.
The WB,WarnerMedia,1995-01-01,WarnerMedia
