col0,col1,col2,col3,col4,col5
Olympique de Marseille,André Villas-Boas,1992–93 UEFA Champions League,Stade Vélodrome,sky blue,1899-08-31
Manchester City F.C.,Pep Guardiola,1968–69 FA Cup,Etihad Stadium,sky blue,1894-04-16
Empoli F.C.,Pasquale Marino,2017–18 Serie B,Stadio Carlo Castellani,azure,1920-01-01
Enosis Neon Paralimni FC,André Paus,1968–69 Cypriot Second Division,Paralimni Stadium,crimson,1936-02-20
Omonia Aradippou,Marinos Satsias,1992–93 Cypriot Second Division,Aradippou Municipal Stadium,white,1929-01-01
Karmiotissa Pano Polemidion,Liasos Louka,2012–13 Cypriot Third Division,Pano Polemidhia Community Stadium,white,1979-01-01
Juventus F.C.,Maurizio Sarri,1995–96 UEFA Champions League,Juventus Stadium,white,1897-11-01
Karmiotissa Pano Polemidion,Liasos Louka,2012–13 Cypriot Third Division,Pano Polemidhia Community Stadium,red,1979-01-01
Atromitos Yeroskipou,Gjoko Hadžievski,STOK Integration Championship,Geroskipou Municipal Stadium,red,1956-01-01
Alki Oroklini FC,Kostas Kaiafas,2014–15 Cypriot Fourth Division,GSZ Stadium,red,1979-01-01
