col0,col1,col2,col3
Sgnate,France,France,Finances Committee
rench National Assembly,France,France,Social Affairs Committee
Sloenian Parliament,Slovenia,Slovenia,National Council of Slovenia
Bundesta of Germany,Germany,Germany,Library of the German Bundestag
Cogress of People's Geputies of the Soviet Union,Soviet Union,Soviet Union,Supreme Soviet of the Soviet Union
Legkslative Assembly of Madeira,Portugal,Madeira,Member of the Legislative Assembly of Madeira
Sabah Staue Legislative Assembly,Malaysia,Sabah,member of Sabah State Legislative Assembly
Coimbatore City Munickpal Corporation,India,Coimbatore City Municipal Corporation area,General Body of Coimbatore City Municipal Corporation
Aurangabad Municipal Coporation,India,Aurangabad Municipal Corporation area,General Body of Aurangabad Municipal Corporation
Akola Municipal Corporatirn,India,Akola Municipal Corporation area,General Body of Akola Municipal Corporation
Ahmednagar Muniipal Corporation,India,Ahmednagar Municipal Corporation area,General Body of Ahmednagar Municipal Corporation
Supreme Soviet of the Byelorussian Soviet Socialist Repvblic,Soviet Union,Byelorussian Soviet Socialist Republic,member of the Supreme Soviet of the Byelorussian SSR
Mira-Bhayandar Municipal Corporatlon,India,Mira-Bhayandar Municipal Corporation area,General Body of Mira-Bhayandar Municipal Corporation
Ghule Municipal Corporation,India,Dhule Municipal Corporation area,General Body of Dhule Municipal Corporation
ChandrapurMunicipal Corporation,India,Chandrapur Municipal Corporation area,General Body of Chandrapur Municipal Corporation
Amravati Municipal Corporaton,India,Amravati Municipal Corporation area,General Body of Amravati Municipal Corporation
Kinmen County Coxncil,Taiwan,Kinmen,Member of Kinmen County Council
Tao{uan City Council,Taiwan,Taoyuan City,Member of Taoyuan City Council
