col0,col1,col2
Stockton,Eastern Time Zone,Delaware Township
Franklin Lakes,Eastern Time Zone,North Haledon
North Arlington,Eastern Time Zone,Lyndhurst
Princeton,UTC−05:00,Montgomery Township
North Plainfield,Eastern Time Zone,Green Brook Township
Haworth,Eastern Time Zone,Closter
Park Ridge,Eastern Time Zone,Montvale
Elmwood Park,Eastern Time Zone,Paterson
Highland Park,Eastern Time Zone,New Brunswick
Englewood Cliffs,Eastern Time Zone,Manhattan
Edgewater,Eastern Time Zone,Manhattan
