col0,col1,col2,col3
Federal Ministry of Finance,Federal Minister of Finance,finance ministry,Detlev-Rohwedder-Haus
Ministry of Economy and Finance,Finance minister of South Korea,finance ministry,Government Complex Sejong
Ministry of Finance,Minister of Finance,ministry of Japan,Kasumigaseki
"Ministry of the Economy, Finances and Industry","Minister of the Economy, Finances and Industry",ministry of France,Paris
Ministry of Finance,Minister for Finance,ministry of Sweden,Adelcrantz palace
Ministry of Finance of the People's Republic of China,Minister of Finance of the People's Republic of China,ministry of the State Council,Beijing
HM Treasury,Chancellor of the Exchequer,department of the United Kingdom Government,Government Offices Great George Street
Federal Public Service Finance,finance minister of Belgium,Federal Public Service,North Galaxy Towers
Federal Ministry of Finance,Federal Minister of Finance,German state agency,Detlev-Rohwedder-Haus
"Ministry of the Economy, Finances and Industry","Minister of the Economy, Finances and Industry",economic affairs ministry,Paris
Ministry of Economy and Finance,Italian Minister of Economy and Finance,ministry of Italy,Rome
United States Department of the Treasury,United States Secretary of the Treasury,United States federal executive department,Treasury Building
