col0,col1,col2,col3,col4
London Film Academy,London Borough of Hammersmith and Fulham,film school,United Kingdom,2001-01-01
Cairo Higher Institute of Cinema,Cairo,film school,Egypt,1957-01-01
Tokyo Film Center School of Arts,Edogawa-ku,film school,Japan,2004-01-01
TheFilmSchool,Washington,film school,United States of America,2004-01-01
Seattle Film Institute,Washington,film school,United States of America,1994-01-01
Northwestern University School of Communication,Evanston,film school,United States of America,1878-01-01
Northwest Film School,Washington,film school,United States of America,2004-09-30
Northern Film School,Leeds,film school,United Kingdom,1990-01-01
"Ma'aleh School of Television, Film and the Arts",Jerusalem,film school,Israel,1999-01-01
Steve Tisch School of Film and Television,Tel Aviv,film school,Israel,1972-01-01
Mel Hoppenheim School of Cinema,Ville-Marie,film school,Canada,1997-01-01
