col0,col1,col2,col3
Airbus Helicopters,Airbus SE,22900,France
Saab Group,Investor AB,13757,Sweden
Boeing,Newport Trust,153000,United States of America
Vought,Triumph Group,6642,United States of America
Boeing,T. Rowe Price,153000,United States of America
Cessna,Textron,15000,United States of America
Sikorsky Aircraft Corporation,United Technologies Corporation,15975,United States of America
Collins Aerospace,United Technologies Corporation,70000,United States of America
Boeing,The Vanguard Group,153000,United States of America
SpaceX,Elon Musk,7000,United States of America
Boeing,BlackRock,153000,United States of America
Sikorsky Aircraft Corporation,Lockheed Martin,15975,United States of America
Aviadvigatel,Oboronprom,2663,Russia
Helibras,Airbus SE,452,Brazil
