col0,col1,col2,col3
INTEGRAL,Baikonur Cosmodrome Site 200,National Aeronautics and Space Administration,space observatory
Hinotori,Uchinoura Space Center,Institute of Space and Astronautical Science,space observatory
Granat,Baikonur Cosmodrome Site 200,Soviet space program,space observatory
Gamma,Gagarin's Start,Roscosmos State Corporation,space observatory
EXOSAT,Vandenberg AFB Space Launch Complex 2,European Space Agency,space observatory
Cosmic Background Explorer,Vandenberg AFB Space Launch Complex 2,Goddard Space Flight Center,space observatory
COROT,Baikonur Cosmodrome Site 31,CNES,space observatory
Kepler,Cape Canaveral Air Force Station Space Launch Complex 17,National Aeronautics and Space Administration,space observatory
Microvariability and Oscillations of Stars,Plesetsk Cosmodrome Site 133,Canadian Space Agency,space observatory
BeppoSAX,Spaceport Florida Launch Complex 36,Italian Space Agency,space observatory
Astronomische Nederlandse Satelliet,Vandenberg AFB Space Launch Complex 5,Netherlands Institute for Space Research,space observatory
AGILE,Satish Dhawan Space Centre Second Launch Pad,Italian Space Agency,space observatory
A Broadband Imaging X-ray All-sky Survey,Kapustin Yar,German Aerospace Center,space observatory
