col0,col1,col2,col3,col4,col5
"HHE Report No. HETA-89-364-2202, ARMCO Advanced Materials Corporation, Butler, Pennsylvania","HHE Report No. HETA-89-364-2202, ARMCO Advanced Materials Corporation, Butler, Pennsylvania",1992-04-01,lead,Randy L. Tubbs,National Institute for Occupational Safety and Health
District chief dies of a stroke after serving as the incident commander at a structure fire - Tennessee,District chief dies of a stroke after serving as the incident commander at a structure fire - Tennessee,2000-11-09,occupational cardiovascular disease,Tommy N. Baldwin,National Institute for Occupational Safety and Health
Volunteer fire fighter has a cardiac arrest and dies at the scene of a commercial structure fire - Pennsylvania,Volunteer fire fighter has a cardiac arrest and dies at the scene of a commercial structure fire - Pennsylvania,2000-01-10,occupational cardiovascular disease,Thomas R. Hales,National Institute for Occupational Safety and Health
"HHE determination report no. HHE-75-105-241, H. C. Smith Company, Minot, North Dakota","HHE determination report no. HHE-75-105-241, H. C. Smith Company, Minot, North Dakota",1975-12-01,lead,Bobby J. Gunter,National Institute for Occupational Safety and Health
"HHE Report No. HETA-87-099-1938, Louisiana-Pacific Corporation, Olathe, Colorado","HHE Report No. HETA-87-099-1938, Louisiana-Pacific Corporation, Olathe, Colorado",1988-12-01,"4,4'-methylenediphenyldiisocyanate",Bobby J. Gunter,National Institute for Occupational Safety and Health
"HHE Determination Report, No. MHETA-82-118-9005, Amax Coal Company, Gillette, Wyoming","HHE Determination Report, No. MHETA-82-118-9005, Amax Coal Company, Gillette, Wyoming",1982-11-01,trichloroethane,Bobby J. Gunter,National Institute for Occupational Safety and Health
"HHE Report No. HETA-88-294-1974, Boeing Aircraft, Seattle, Washington","HHE Report No. HETA-88-294-1974, Boeing Aircraft, Seattle, Washington",1989-07-01,antimony,Bobby J. Gunter,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-84-233-1663, FMC Corporation, Pocatello, Idaho","Health hazard evaluation report: HETA-84-233-1663, FMC Corporation, Pocatello, Idaho",1986-02-01,phosphoru,Bobby J. Gunter,National Institute for Occupational Safety and Health
"HHE report no. HETA-91-238-2162, University of South Florida, Tampa, Florida","HHE report no. HETA-91-238-2162, University of South Florida, Tampa, Florida",1991-11-01,carbon dioxide,Max J. Kiefer,National Institute for Occupational Safety and Health
"HHE Report No. HETA-93-1084-2500, Reliance Electric, Madison, Indiana","HHE Report No. HETA-93-1084-2500, Reliance Electric, Madison, Indiana",1995-04-01,formaldehyde,Alan S. Echt,National Institute for Occupational Safety and Health
"HHE Report No. HETA-92-0288-2454, Ogden Aviation, Newark Airport, New Jersey","HHE Report No. HETA-92-0288-2454, Ogden Aviation, Newark Airport, New Jersey",1994-09-01,carbon monoxide,Alan S. Echt,National Institute for Occupational Safety and Health
"In-depth survey report of four sites: exposure to silica from hand tools in construction chipping, grinding, and hand demolition","In-depth survey report of four sites: exposure to silica from hand tools in construction chipping, grinding, and hand demolition at Frank Messer and Sons Construction Company, Lexington and Newport, Kentucky, Columbus and Springfield, Ohio, report no. CT-247-15a",2001-04-01,quartz,Alan S. Echt,National Institute for Occupational Safety and Health
Carbon monoxide kills 65 year-old rancher in Colorado,Carbon monoxide kills 65 year-old rancher in Colorado,1991-06-22,carbon monoxide,Colorado Department of Public Health and Environment,National Institute for Occupational Safety and Health
Fire chief dies 10 days after exposure to toxic gases and smoke,Fire chief dies 10 days after exposure to toxic gases and smoke,1997-03-25,phosgene,New Jersey Department of Health,National Institute for Occupational Safety and Health
"Truck driver dies while cleaning out inside of tanker in South Carolina, August 20, 1986","Truck driver dies while cleaning out inside of tanker in South Carolina, August 20, 1986",1987-04-07,dinitrogen,National Institute for Occupational Safety and Health,National Institute for Occupational Safety and Health
