col0,col1,col2,col3,col4,col5
Cabinet of Scavenius,Cabinet of Vilhelm Buhl II,Cabinet of Denmark,1942-11-09,Cabinet of Vilhelm Buhl I,1945-05-05
Cabinet of Neergaard II,Cabinet of Neergaard III,Cabinet of Denmark,1920-05-05,Cabinet of M.P. Friis,1922-10-09
Cabinet of J.C. Christensen,Cabinet of Neergaard I,Cabinet of Denmark,1905-01-14,Cabinet of Deuntzer,1908-10-12
Cabinet of Andræ,Cabinet of Hall I,Cabinet of Denmark,1856-10-18,Cabinet of Bang,1857-05-13
Cabinet of Bluhme I,Cabinet of Ørsted,Cabinet of Denmark,1852-01-27,Cabinet of Moltke IV,1853-04-21
Cabinet of Bluhme II,Cabinet of Frijs,Cabinet of Denmark,1864-07-11,Cabinet of Monrad,1865-11-06
Cabinet of Fonnesbech,Cabinet of Estrup,Cabinet of Denmark,1874-07-14,Cabinet of Holstein-Holsteinborg,1875-06-11
Cabinet of H. C. Hansen II,Cabinet of Viggo Kampmann I,Cabinet of Denmark,1957-05-28,Cabinet of H. C. Hansen I,1960-02-21
Cabinet of Anker Jørgensen II,Cabinet of Anker Jørgensen III,Cabinet of Denmark,1975-02-13,Cabinet of Poul Hartling,1978-08-30
Cabinet of Hilmar Baunsgaard,Cabinet of Jens Otto Krag III,Cabinet of Denmark,1968-02-02,Cabinet of Jens Otto Krag II,1971-10-11
Cabinet of Jens Otto Krag II,Cabinet of Hilmar Baunsgaard,Cabinet of Denmark,1964-09-26,Cabinet of Jens Otto Krag I,1968-02-02
Cabinet of Knud Kristensen,Cabinet of Hans Hedtoft I,Cabinet of Denmark,1945-11-07,Cabinet of Vilhelm Buhl II,1947-11-13
Cabinet of Anker Jørgensen V,Cabinet of Poul Schlüter I,Cabinet of Denmark,1981-12-30,Cabinet of Anker Jørgensen IV,1982-09-10
Cabinet of Poul Schlüter III,Cabinet of Poul Schlüter IV,Cabinet of Denmark,1988-06-03,Cabinet of Poul Schlüter II,1990-12-18
Cabinet of Anders Fogh Rasmussen II,Cabinet of Anders Fogh Rasmussen III,Cabinet of Denmark,2005-02-18,Cabinet of Anders Fogh Rasmussen I,2007-11-23
