col0,col1,col2
St Peters,"Norwood, Payneham and St Peters",Corporation of the Town of St Peters
Hindmarsh,City of Hindmarsh Woodville,Corporation of the Town of Hindmarsh
Port Augusta West,Port Augusta,Corporation of the Town of Port Augusta West
Yorketown,District of Yorketown,Corporation of the Town of Yorketown
Crystal Brook-Redhill,Port Pirie,District Council of Crystal Brook-Redhill
Pirie,Port Pirie,District Council of Pirie
Melville,District of Yorketown,District Council of Melville
Woodville,City of Henley and Grange,Corporation of the City of Woodville
Port Adelaide,Port Adelaide Enfield,Corporation of the City of Port Adelaide
Light,Kapunda and Light,District Council of Light
Mobilong,Murray Bridge,District Council of Mobilong
Enfield,Port Adelaide Enfield,Corporation of the City of Enfield
Munno Para East,Munno Para,District Council of Munno Para East
Hindmarsh,Hindmarsh,District Council of Hindmarsh
