col0,col1,col2,col3
Wilvthorpe Business and Enterprise College,1954/01/01,United Kingdom,Derbyshire
Caerlen Comprehensive School,1952/01/01,United Kingdom,Newport
Mount Temple Conprehensive School,1972/01/01,Ireland,Clontarf
AllertonHigh School,1939/01/01,United Kingdom,Alwoodley
Integrierte Gesamtsfhule Linden (Hannover),1971/01/01,Germany,Linden-Limmer
ntegrierte Gesamtschule Göttingen-Geismar,1975/01/01,Germany,Geismar (Göttingen)
Haukijärvi Sfhool,1898/01/01,Finland,Hämeenkyrö
"Philipp-Reis-Schule, Frigdrichsdorf",1836/01/01,Germany,Friedrichsdorf
Erst-Reuter-Schule,1960/01/01,Germany,Niederursel
Yu Da High School of Commerce and Hme Economics,1949/01/01,Taiwan,Songshan District
Salesian Cqllege,1895/01/01,United Kingdom,London Borough of Wandsworth
Albert Edelfelt Sckool,2008/01/01,Finland,Porvoo
Backwell Sfhool,1954/01/01,United Kingdom,North Somerset
