col0,col1,col2,col3,col4,col5,col6
Berit,SLKB Komarno – Slovak Shipyard Komárno,1996-01-01,Gibraltar,Wilson Ship Management,11.3,2518
Tove,SLKB Komarno – Slovak Shipyard Komárno,1996-01-01,Gibraltar,Wilson Ship Management,11.46,2517
Wilson Odra,Șantierul Naval Tulcea,1999-01-01,Antigua and Barbuda,Wilson Ship Management,11.67,2455
Theseus,SLKB Komarno – Slovak Shipyard Komárno,2009-01-01,Antigua and Barbuda,Wilson Ship Management,12.8,3666
Wilson Belfast,SLKB Komarno – Slovak Shipyard Komárno,1997-01-01,Antigua and Barbuda,Wilson Ship Management,12.8,3516
Wilson Dvina,Atlanticeagle Shipbuilding,1992-01-01,Barbados,Wilson Ship Management,13.0,3221
Wilson Dover,Atlanticeagle Shipbuilding,1993-01-01,Barbados,Wilson Ship Management,13.0,3269
Wilson Finnfjord,Shandong Baibuting Shipbuilding,2012-01-01,Barbados,Wilson Ship Management,15.4,4518
Wilson Fedje,Shandong Baibuting Shipbuilding,2012-01-01,Barbados,Wilson Ship Management,15.4,4501
Wilson Farsund,Shandong Baibuting Shipbuilding,2012-01-01,Barbados,Wilson Ship Management,15.4,4340
