col0,col1,col2
Juan Simons Vela Airport,1934-01-01,2707
Joseph State Airport,1945-01-10,4121
Bora Bora Airport,1958-01-01,31
Fertőszentmiklós Airport,1997-01-01,134
Catania-Fontanarossa Airport,1924-01-01,12
Qamdo Bamda Airport,1994-01-01,4400
Daniel K. Inouye International Airport,1938-01-02,13
Van Nuys Airport,1942-01-07,2444
Turin Airport,1953-01-01,991
Frank País Airport,1930-10-30,110
Salt Lake City International Airport,1938-01-11,4227
Il Caravaggio International Airport,1937-01-01,237
Santa Barbara Municipal Airport,1940-01-04,4
Tulsa International Airport,1942-01-08,206
Treviso Airport,1953-01-01,59
Philadelphia International Airport,1940-01-10,36
Pantelleria Airport,1938-01-01,194
Riga International Airport,1974-01-01,36
Budapest Ferenc Liszt International Airport,1950-01-01,151
Kuala Lumpur International Airport,1998-01-01,71
