col0,col1,col2,col3,col4,col5,col6
Yahel,Israel,1976-01-01,182,UTC+02:00,198,Hevel Eilot Regional Council
Lotan,Israel,1983-01-01,181,UTC+02:00,121,Hevel Eilot Regional Council
Ketura,Israel,1970-01-01,485,UTC+02:00,116,Hevel Eilot Regional Council
Ein Gedi,Israel,1953-01-01,561,UTC+02:00,-300,Tamar Regional Council
El Rom,Israeli-occupied territories,1971-01-01,338,UTC+02:00,1050,Golan Regional Council
Geshur,Israeli-occupied territories,1971-01-01,264,UTC+02:00,345,Golan Regional Council
Ein HaShofet,Israel,1937-01-01,821,UTC+02:00,264,Megiddo Regional Council
Lavi,Israel,1949-01-01,640,UTC+02:00,265,Lower Galilee Regional Council
Nir Eliyahu,Israel,1950-01-01,505,UTC+02:00,59,Drom HaSharon Regional Council
Degania Alef,Israel,1910-01-01,534,Israel time zone,-200,Emek HaYarden Regional Council
Ravid,Israel,1981-01-01,93,UTC+02:00,170,Emek HaYarden Regional Council
