col0,col1,col2
FC Carl Zeiss Jena,2018–19 3. Liga,Germany
Eintracht Braunschweig,2018–19 3. Liga,Germany
F.C. Hansa Rostock,2018–19 3. Liga,Germany
AZ Alkmaar,2013 KNVB Cup Final,Netherlands
G.D. Estoril Praia,1974 Portuguese Team Badminton Championships,Portugal
Jagiellonia Białystok,2013–14 Ekstraklasa,Poland
Zawisza Bydgoszcz,2013–14 Ekstraklasa,Poland
Wisła Kraków,1955 Ekstraklasa,Poland
Legia Warsaw,2011–12 Ekstraklasa,Poland
Djurgårdens IF,1916–17 Svenska Serien,Sweden
Ethnikos Achna FC,1991–92 Cypriot Cup,Republic of Cyprus
Queen's Park F.C.,1884 FA Cup Final,United Kingdom
Polonia Bytom,1955 Ekstraklasa,Poland
Paris Saint-Germain F.C.,1997 UEFA Cup Winners' Cup Final,France
