col0,col1,col2
Amadeus,2004-07-01,421 Golden Eagle
Colonial Air Transport,1930-01-01,Curtiss Lark
Eastern Air Lines,1991-01-01,Eastern Air Lines fleet
Cirrus Airlines,2012-01-01,Embraer Regional Jet
Augsburg Airways,2013-01-01,Embraer 195
Antares Airtransport,2005-01-01,L-410 Turbolet
Interflug,1991-05-01,A310
Swiss Global Air Lines,2018-04-19,Boeing 777
Tyrolean Airways,2015-01-01,Boeing 737
Merpati Nusantara Airlines,2014-01-01,Boeing 737
AB Airlines,1999-01-01,Boeing 737-300
German Wings,1990-01-01,McDonnell Douglas MD-83
Brit Air,2017-03-01,CRJ700/900/1000
Augusta Air,2014-01-01,Cessna Citation Excel
Albanian Airlines,2011-01-01,BAe 146
Luftverkehr Friesland-Harle,2014-01-01,Cessna 172 Skyhawk
Borajet,2017-04-24,ATR 72
Bavaria Fluggesellschaft,1977-01-01,DC-3
Berline,1994-01-01,Il-18
Niki,2017-01-01,A320 family
