col0,col1,col2
Gremlin Interactive,United Kingdom,Finchpost Limited
U.S. Gold,United Kingdom,U.S. Gold Ltd.
Mastertronic,United Kingdom,Mastertronic Ltd.
Team17,United Kingdom,Team17 Software Limited
Titus Software,France,Titus France SA
Tradewest,United States of America,"Midway Home Entertainment, Inc."
Strategic Simulations,United States of America,"Strategic Simulations, Inc."
Cinemaware,United States of America,Cinemaware Corporation
Infocom,United States of America,"Infocom, Inc."
LucasArts,United States of America,"LucasArts Entertainment Company, LLC"
Ubisoft,United States of America,Ubi Soft Entertainment Software
Electronic Arts,United States of America,"Electronic Arts, Inc."
Pony Canyon,Japan,"Pony Canyon, Inc."
Sega,Japan,"SEGA Games Co., Ltd."
