col0,col1,col2,col3
Trans-Baikal Railway,1926-01-01,Russian Railways,Chita
In-der-City-Bus,1992-01-01,Stadtwerke Verkehrsgesellschaft Frankfurt am Main,Frankfurt am Main
Krasnoyarsk Railway,1899-01-01,Russian Railways,Krasnoyarsk
Grimaldi Lines,1947-01-01,Grimaldi Group,Civitavecchia
Privolzhskaya Railway,1953-01-01,Russian Railways,Saratov
South Eastern Railway,1893-06-15,Russian Railways,Voronezh
HEAG mobilo GmbH,1990-01-01,HEAG Holding AG,Darmstadt
Kaliningrad Railway,1992-01-01,Russian Railways,Kaliningrad
Grandi Navi Veloci,1992-01-01,Mediterranean Shipping Company,Genoa
SD - Kolejová doprava,2001-11-07,ČEZ Group,Kadaň
Norddeutsche Eisenbahngesellschaft Niebüll,2004-01-01,Société Nationale des Chemins de Fer Luxembourgeois,Niebüll
