col0,col1,col2,col3,col4
Ministry of Education (South Korea),2013-03-23,Government Complex Sejong,KERIS,South Korea
Ministry of Education,1911-01-01,Taipei,National Museum of Marine Biology and Aquarium,Taiwan
Ministry of Health and Medical Education,1979-02-17,Tehran,Gilan University of Medical Sciences,Iran
Ministry of Education,1989-01-01,Wellington,New Zealand Qualifications Authority,New Zealand
Ministry of Education and Science,1918-01-01,Yerevan,State Committee of Science,Armenia
Ministry of Education of Chile,1927-01-01,Avenida Libertador General Bernardo O'Higgins,National Monuments Council,Chile
Ministry of Science and Education,1990-05-31,Zagreb,Unity Through Knowledge Fund,Croatia
Ministry of Education and Science of Ukraine,1992-01-01,Kyiv,Donetsk National Technical University,Ukraine
Ministry of Education and Science,2004-03-09,Tverskaya Street,Federal Institute for Education Development,Russia
Ministry of Education,1930-01-01,Brasília,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil
Ministry of Education of the People's Republic of China,1998-01-01,Beijing,Central Academy of Fine Arts,People's Republic of China
Department for Education,2010-01-01,London,Qualifications and Curriculum Development Agency,United Kingdom
French Ministry of education,1828-01-01,Hôtel de Rochechouart,Institut Français d'Archéologie Orientale,France
Secretariat of Public Education,1921-10-03,Mexico City,National Institute of Technology of Mexico,Mexico
Ministry of Education,2015-01-01,Lisbon,Fundação para a Ciência e Tecnologia,Portugal
