col0,col1,col2,col3,col4,col5
AFC Kairat,Almaty,1995-01-01,futsal,Kazakhstani Futsal Championship,Kazakhstan
Elpida Astromeriti,Astromeritis,2009-01-01,association football,Cypriot Third Division,Republic of Cyprus
Araz Naxçivan,Nakhchivan,2004-01-01,futsal,Azerbaijan Premier League,Azerbaijan
Slov-Matic Bratislava,Bratislava,1984-01-01,futsal,Slovak Futsal Extraliga,Slovakia
Era-Pack Chrudim,Chrudim,1991-01-01,futsal,1. Liga Futsalu,Czech Republic
FC Tango Brno,Brno,1987-01-01,association football,1. Liga Futsalu,Czech Republic
Yenakiyevets,Yenakiieve,2000-01-01,association football,Extra-Liga,Ukraine
MFC Dneprospetstal,Zaporizhzhia,1995-01-01,association football,Extra-Liga,Ukraine
LTK Lugansk,Luhansk,2003-01-01,association football,Extra-Liga,Ukraine
FC Nikers,Kuldīga,2013-01-01,association football,Latvian Second League,Latvia
MFK Norilsk Nickel,Norilsk,1993-06-30,futsal,Russian Futsal Super League,Russia
Sibiryak,Novosibirsk,1988-01-01,futsal,Russian Futsal Super League,Russia
Associação Desportiva Classista Intelli,Orlândia,1977-01-01,futsal,Liga Futsal,Brazil
Associação Carlos Barbosa de Futsal,Carlos Barbosa,1976-01-01,futsal,Liga Futsal,Brazil
Associação Desportiva Jaraguá,Jaraguá do Sul,1992-01-01,futsal,Liga Futsal,Brazil
Minas Tênis Clube,Belo Horizonte,1935-01-01,futsal,Liga Futsal,Brazil
Baku United FC,London,2008-01-01,futsal,FA National Futsal League,United Kingdom
Helvécia Futsal Club,London,2005-01-01,futsal,FA National Futsal League,United Kingdom
Athina 90,Athens,1990-01-01,futsal,Hellenic Futsal Premiere League,Greece
Action 21 Charleroi,Charleroi,1999-01-01,futsal,Belgian Division 1,Belgium
