col0,col1,col2,col3
Thai Airways,Airbus A380,Ministry of Finance,Ministry of Finance
Iberia,A320 family,International Airlines Group,International Airlines Group
Iberia Express,A320 family,International Airlines Group,Iberia
BA CityFlyer,Saab 2000,British Airways,International Airlines Group
airBaltic,Airbus A220,Government of Latvia,Government of Latvia
Hainan Airlines,Boeing 767,Grand China Air,Grand China Air
Croatia Airlines,A320 family,Government of Croatia,Government of Croatia
Frontier Airlines,A320 family,Republic Airways Holdings,Republic Airways Holdings
Mount Cook Airline,ATR 72,Air New Zealand,Air New Zealand
Shandong Airlines,Comac ARJ21,Air China,Air China
SunExpress,Boeing 737,Turkish Airlines,Turkish Airlines
Iran Airtour,A310,privately held company,privately held company
Singapore Airlines Cargo,Boeing 747-400F,Singapore Airlines,Singapore Airlines
