col0,col1,col2
Catalan Institute of Nanoscience and Nanotechnology,Generalitat of Catalonia,Bellaterra
Zaragoza Logistics Center (ZLC),Massachusetts Institute of Technology,Zaragoza
Svenska forskningsinstitutet i Istanbul,Sweden,Istanbul
Wales Kidney Research Unit,Health and Care Research Wales,Cardiff
Open Source Ecology (OSE),virtual community,Maysville
Leibniz Institute for the History and Culture of Eastern Europe,Federal Ministry of Education and Research,Leipzig
Peace Research Institute Frankfurt,Hesse,Frankfurt am Main
Leibniz Institute for Polymer Research,Germany,Dresden
Institut für Forschung und Entwicklung von Sportgeräten,Federal Ministry of the Interior,Berlin
Hamburg Institute for Social Research,Jan Philipp Reemtsma,Hamburg
Francis Crick Institute,Imperial College London,London Borough of Camden
Aspen Institute,Bill & Melinda Gates Foundation,"Washington, D.C."
Levada Center,National Endowment for Democracy,Moscow
