col0,col1,col2
Universal Music Taiwan,Universal Music Group,What's Music International Incorporated
Huayi Brothers,Alibaba Group,"Huayi Brothers Contemporary Culture Broker Co., Ltd."
Sony BMG,Bertelsmann Music Group,"Sony BMG Music Entertainment (Poland), Sp. z o.o."
Concord Bicycle Music,Baring Asset Management,Concord Records
Sony Classical,Sony Music,Deutsche Harmonia Mundi
Warner Music France,Warner Music Group,Parlophone
NBCUniversal Entertainment Japan LLC,NBCUniversal,Sistus Records
King Records,Kodansha,King Records Dai-san Creative Honbu
Live Nation Entertainment,Liberty Media,Roc Nation
Avex Group,The Master Trust Bank of Japan,Avex Trax
Sony Music Entertainment Japan,Sony,Aniplex
PolyGram,Universal Music Group,DJM Records
Bertelsmann Music Group,Bertelsmann,RCA Records
Disney Music Group,The Walt Disney Company,Walt Disney Records
