col0,col1,col2,col3,col4,col5
"Health hazard evaluation report: HETA-2003-0248-2940, Florida Department of Agriculture and Consumer Services, Gainesville, Florida","Health hazard evaluation report: HETA-2003-0248-2940, Florida Department of Agriculture and Consumer Services, Gainesville, Florida",2004-06-01,perfluorooctanoic acid,Max J. Kiefer,National Institute for Occupational Safety and Health
In-depth survey report: control technology for dowel drilling in concrete,In-depth survey report: control technology for dowel drilling in concrete,2011-05-01,quartz,Alan S. Echt,National Institute for Occupational Safety and Health
In-depth survey report: engineering control of silica dust from stone countertop fabrication and installation,In-depth survey report: engineering control of silica dust from stone countertop fabrication and installation,2016-01-01,quartz,Alan S. Echt,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2008-0155-3131, lung function (spirometry) testing in employees at a flavorings manufacturing plant - Indiana","Health hazard evaluation report: HETA-2008-0155-3131, lung function (spirometry) testing in employees at a flavorings manufacturing plant - Indiana",2011-06-01,"butane-2,3-dione",Kathleen Kreiss,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2001-0067-2896, Somerset County assistance office, Somerset, Pennsylvania","Health hazard evaluation report: HETA-2001-0067-2896, Somerset County assistance office, Somerset, Pennsylvania",2003-03-01,carbon dioxide,Kathleen Kreiss,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2007-0327-3083, findings from industrial hygiene air sampling, ventilation assessment, and","Health hazard evaluation report: HETA-2007-0327-3083, findings from industrial hygiene air sampling, ventilation assessment, and a medical survey at a facility that manufactures flavorings, modified dairy products, and bacterial additives, Chr. Hansen, Inc., New Berlin, Wisconsin",2009-05-01,manufacturing,Kevin H. Dunn,National Institute for Occupational Safety and Health
"Walk-Through Survey Report No. CT-116-19a: Control Technology For Fermentation Processes At Gist-Brocades USA, Incorporated, Kingstree, South Carolina","Walk-Through Survey Report No. CT-116-19a: Control Technology For Fermentation Processes At Gist-Brocades USA, Incorporated, Kingstree, South Carolina",1984-08-01,personal protective equipment,Kenneth F. Martinez,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-87-371-1989, Technical Assistance to the Jamaican Ministry of Health, Kingston, Jamaica","Health hazard evaluation report: HETA-87-371-1989, Technical Assistance to the Jamaican Ministry of Health, Kingston, Jamaica",1989-09-01,lead,Gregory A. Burr,National Institute for Occupational Safety and Health
"In-depth survey report: evaluation of control technology for perchloroethylene in dry cleaning shops at Jim Dandy Cleaners, New York, New York, report no. ECTB-240-11","In-depth survey report: evaluation of control technology for perchloroethylene in dry cleaning shops at Jim Dandy Cleaners, New York, New York, report no. ECTB-240-11",1999-10-01,tetrachloroethylene,G. Edward Burroughs,National Institute for Occupational Safety and Health
"HETA Composite Report on Lead Studies for TA-76-107, N. L. Bearings, Fremont, Nebraska, Report No. TA-76-107","HETA Composite Report on Lead Studies for TA-76-107, N. L. Bearings, Fremont, Nebraska, Report No. TA-76-107",1978-07-01,lead,Theodore W. Thoburn,National Institute for Occupational Safety and Health
"HHE Report No. HETA-93-1062-2558, Texas Utilities Electric Company, Martin Lake Steam Electric Station, Tatum, Texas","HHE Report No. HETA-93-1062-2558, Texas Utilities Electric Company, Martin Lake Steam Electric Station, Tatum, Texas",1996-01-01,Tricresyl phosphate,C. Eugene Moss,National Institute for Occupational Safety and Health
