col0,col1,col2,col3,col4
Topsport Vlaanderen-Baloise 2015,Topsport Vlaanderen-Baloise 2016,2015-01-01,Christophe Sercu,2015-12-31
Topsport Vlaanderen-Baloise 2014,Topsport Vlaanderen-Baloise 2015,2014-01-01,Christophe Sercu,2014-12-31
2016 Wilier Triestina-Southeast,Wilier Triestina-Selle Italia 2017,2016-01-01,Angelo Citracca,2016-12-31
Southeast 2015,2016 Wilier Triestina-Southeast,2015-01-01,Angelo Citracca,2015-12-31
Bora-Argon 18 2016,2017 Bora-Hansgrohe,2016-01-01,Ralph Denk,2016-12-31
Bora-Argon 18 2015,Bora-Argon 18 2016,2015-01-01,Ralph Denk,2015-12-31
NetApp-Endura 2014,Bora-Argon 18 2015,2014-01-01,Ralph Denk,2014-12-31
Novo Nordisk 2016,Novo Nordisk 2017,2016-01-01,Vassili Davidenko,2016-12-31
Novo Nordisk 2015,Novo Nordisk 2016,2015-01-01,Vassili Davidenko,2015-12-31
Roompot-Oranje Peloton 2016,Roompot-Nederlandse Loterij 2017,2016-01-01,Michael Zijlaard,2016-12-31
Roompot Oranje Peloton 2015,Roompot-Oranje Peloton 2016,2015-01-01,Michael Zijlaard,2015-12-31
Israel Cycling Academy 2017,Israel Cycling Academy 2018,2017-01-01,Ran Margaliot,2017-12-31
2012 Saur-Sojasun season,2013 Sojasun season,2012-01-01,Stéphane Heulot,2012-12-31
WB-Veranclassic-Aqua Protect 2017,WB-Aqua Protect-Veranclassic 2018,2017-01-01,Christophe Brandt,2017-12-31
Verandas Willems-Crelan 2017,Verandas Willems-Crelan 2018,2017-01-01,Nick Nuyens,2017-12-31
