col0,col1,col2
Staatskanzlei des Landes Nordrhein-Westfalen,North Rhine-Westphalia,Nathanael Liminski
"Senate Department for Enviroment, Transport and Climate Protection",Berlin,Regine Günther
Polizeipräsidium München,Munich,Hubertus Andrä
"Ministry of Science, Education and Culture",Rhineland-Palatinate,Konrad Wolf
"Ministry of Economics, Labor and Housing Baden-Württemberg",Baden-Württemberg,Nicole Hoffmeister-Kraut
Senate Department for Finances,Berlin,Matthias Kollatz
Ministery of Justice,Schleswig-Holstein,Sabine Sütterlin-Waack
Saxon Ministry of the Environment and Agriculture,Saxony,Thomas Schmidt
"Senate Department for Economy, Energy and Enterprises",Berlin,Ramona Pop
"Senate Department for Education, Youth, and Science",Berlin,Sandra Scheeres
Staatskanzlei,Saarland,Jürgen Lennartz
Senate Department for Culture and Europe,Berlin,Klaus Lederer
State Ministry of Science and Cultural Affairs of Saxony,Saxony,Eva-Maria Stange
"Senate Department for Integration, Labour and Social Affairs",Berlin,Elke Breitenbach
"Ministry of Culture, Youth and Sport Baden-Württemberg",Baden-Württemberg,Susanne Eisenmann
"Senate Department for Justice, Consumer Protection and Anti-discrimination",Berlin,Dirk Behrendt
Lower Saxony Ministry of Science and Culture,Lower Saxony,Björn Thümler
"Ministry of Economy, Science and Digitalisation",Saxony-Anhalt,Armin Willingmann
