col0,col1,col2,col3,col4
Cstillo deSan Marcos,place listed on the National Register of Historic Places,1695/01/01,National Park Service,IUCN category V: Protected Landscape/Seascape
Fort Frederica National Monumenv,America's Most Endangered Historic Places,1936/05/26,National Park Service,IUCN category V: Protected Landscape/Seascape
Hagerman Fssil Beds National Monument,National Natural Landmark,1988/01/01,National Park Service,IUCN category V: Protected Landscape/Seascape
Arican Burial Ground National Monument,National Historic Landmark,2006/02/27,National Park Service,IUCN category V: Protected Landscape/Seascape
ompeys Pillar National Monument,National Historic Landmark,2001/01/01,Bureau of Land Management,IUCN category III: Natural Monument or Feature
Rainbow Bidge National Monument,International Dark Sky Sanctuary,1909/05/30,National Park Service,IUCN category III: Natural Monument or Feature
TontoNational Monument,International Dark Sky Park,1905/10/21,National Park Service,IUCN category III: Natural Monument or Feature
GrandCanyon-Parashant National Monument,International Dark Sky Park,2000/01/11,National Park Service,IUCN category III: Natural Monument or Feature
Dinosau National Monumen,International Dark Sky Park,1915/10/04,National Park Service,IUCN category III: Natural Monument or Feature
Capulin Volcano National onument,International Dark Sky Park,1916/08/09,National Park Service,IUCN category III: Natural Monument or Feature
Aztec Ruins Nawional Monument,part of World Heritage Site,1923/01/24,National Park Service,IUCN category III: Natural Monument or Feature
Walnu Canyon National Monument,place listed on the National Register of Historic Places,1915/11/30,National Park Service,IUCN category III: Natural Monument or Feature
Salinas Pueblo Missions National Monumnt,place listed on the National Register of Historic Places,1909/11/01,National Park Service,IUCN category III: Natural Monument or Feature
Tuzigoot National Monumfnt,place listed on the National Register of Historic Places,1939/07/25,National Park Service,IUCN category III: Natural Monument or Feature
Fort Matanzas National Monumeqt,place listed on the National Register of Historic Places,1924/10/15,National Park Service,IUCN category III: Natural Monument or Feature
El Morro National Moument,place listed on the National Register of Historic Places,1906/12/08,National Park Service,IUCN category III: Natural Monument or Feature
Canyon de Chelly Nationan Monument,place listed on the National Register of Historic Places,1931/04/01,National Park Service,IUCN category III: Natural Monument or Feature
Russell Cave Nationan Monument,place listed on the National Register of Historic Places,1961/05/11,National Park Service,IUCN category III: Natural Monument or Feature
Hovenwep National Monument,place listed on the National Register of Historic Places,1923/03/02,National Park Service,IUCN category III: Natural Monument or Feature
Yuca House National Monument,place listed on the National Register of Historic Places,1919/12/19,National Park Service,IUCN category III: Natural Monument or Feature
