col0,col1,col2,col3,col4,col5
Maxx-Solar 2015,amateur cycling team,Maxx-Solar 2014,Maxx-Solar 2016,Germany,Maxx-Solar
Crescent D.A.R.E 2015,amateur cycling team,Crescent D.A.R.E 2014,Crescent D.A.R.E 2016,Sweden,Team Crescent D.A.R.E
BMS BIRN 2015,amateur cycling team,BMS Ladies 2014,BMS BIRN 2016,Denmark,Team Virtu Cycling Women
Maxx-Solar 2017,amateur cycling team,Maxx-Solar 2016,2018 Maxx-Solar season,Germany,Maxx-Solar
Wielerclub de sprinters Malderen 2019,amateur cycling team,2018 Wielerclub de Sprinters Malderen season,Wielerclub de sprinters Malderen 2020,Belgium,Wielerclub de Sprinters Malderen
Keukens Redant 2019,amateur cycling team,2018 Keukens Redant season,Keukens Redant 2020,Belgium,Keukens Redant
Isorex 2019,amateur cycling team,2018 Isorex season,Isorex 2020,Belgium,Isorex
Multum Accountants 2019,amateur cycling team,2018 Autoglas Wetteren season,Multum Accountants-LSK 2020,Belgium,Autoglas Wetteren
RoxSolt Attaquer 2018,amateur cycling team,RoxSolt Attaquer 2017,RoxSolt Attaquer 2019,New Zealand,RoxSolt Attaquer
Colavita-Bianchi 2018,amateur cycling team,Colavita-Bianchi 2017,Colavita-Bianchi 2019,United States of America,Colavita/Bianchi
Centre mondial du cyclisme 2018,amateur cycling team,2017 Centre mondial du cyclisme season,Centre mondial du cyclisme 2019,Switzerland,World Cycling Centre
