col0,col1,col2,col3,col4
Waterloo Public Library-East Side Branch,United States of America,Neoclassical architecture,Waterloo,John G. Ralston
Waterloo Public Library,United States of America,Neoclassical architecture,Waterloo,John G. Ralston
Sioux City Public Library-North Side Branch,United States of America,Tudor Revival architecture,Sioux City,William L. Steele
Sedalia Public Library,United States of America,Greek Revival (architecture),Sedalia,"Shepley, Rutan and Coolidge"
Vinton Public Library,United States of America,Renaissance Revival architecture,Vinton,Patton & Miller
Former Eldora Public Library,United States of America,Renaissance Revival architecture,Eldora,Patton & Miller
Racine Heritage Museum,United States of America,Beaux-Arts,Racine,John Mauran
Laurens Carnegie Free Library,United States of America,Mission Revival architecture,Iowa,Frank E. Wetherell
Anamosa Public Library,United States of America,Romanesque Revival architecture,Anamosa,Dwight H. Perkins
Lewisham Arthouse,United Kingdom,Baroque Revival architecture,London Borough of Lewisham,Brumwell Thomas
