col0,col1,col2,col3
Torino Hut,1952-01-01,Italy,1952-01-01
Refuge Aoste,1995-01-01,Italy,1995-01-01
Refuge Barmasse,1965-01-01,Italy,1965-01-01
Refuge Duc des Abruzzes à l'Oriondé,1920-01-01,Italy,1920-01-01
Refuge Walter-Bonatti,1998-01-01,Italy,1998-01-01
Margherita Hut,1893-08-18,Italy,1893-01-01
Refuge Crête Sèche,1982-01-01,Italy,1982-01-01
Refuge Grand Tournalin,1994-01-01,Italy,1994-01-01
Refuge Sogno de Berdzé au Péradza,2003-01-01,Italy,2003-01-01
Refuge Dondénaz,1863-01-01,Italy,1863-01-01
Refuge Jean-Antoine Carrel,1969-01-01,Italy,1969-01-01
Refuge Jean-Frédéric Benevolo,1930-01-01,Italy,1930-01-01
Refuge Arbolle,1998-01-01,Italy,1998-01-01
Refuge des Anges au Morion,1884-01-01,Italy,1884-01-01
