col0,col1,col2,col3
Ethiopian People's Revolutionary Democratic Front,2019-12-01,federalism,1989-01-01
Pakatan Rakyat,2015-06-16,social liberalism,2008-04-01
Angkatan Perpaduan Ummah,1996-01-01,Islamism,1990-01-01
Lespwa,2009-11-01,democratic socialism,1995-01-01
Ethiopian People's Revolutionary Democratic Front,2019-12-01,protectionism,1989-01-01
Together 2014,2018-06-02,social democracy,2012-10-26
United People's Freedom Alliance,2019-10-31,social democracy,2004-01-01
Ethiopian People's Revolutionary Democratic Front,2019-12-01,social democracy,1989-01-01
Harmony Centre,2014-01-01,social democracy,2005-01-01
Unidad Popular,1980-01-01,socialism,1969-10-09
Ethiopian People's Revolutionary Democratic Front,2019-12-01,socialism,1989-01-01
Initiative for Catalonia Greens-United and Alternative Left,2015-01-01,feminism,2006-01-01
National Rainbow Coalition,2016-01-01,conservatism,2002-01-01
