col0,col1,col2,col3,col4,col5
St Francis Xavier's College,Liverpool,Roman Catholic Archdiocese of Liverpool,Society of Jesus,United Kingdom,Catholic school
St Boniface's RC College,Crownhill,Roman Catholic Diocese of Plymouth,George Errington,United Kingdom,grammar school
Old Swinford Hospital,Stourbridge,Diocese of Worcester,Thomas Foley,United Kingdom,boarding school
St Boniface's RC College,Crownhill,Roman Catholic Diocese of Plymouth,George Errington,United Kingdom,secondary school
St Bonaventure's RC School,Forest Gate,Roman Catholic Diocese of Brentwood,Franciscan,United Kingdom,secondary school
St Francis Xavier's College,Liverpool,Roman Catholic Archdiocese of Liverpool,Society of Jesus,United Kingdom,secondary school
Old Swinford Hospital,Stourbridge,Diocese of Worcester,Thomas Foley,United Kingdom,secondary school
St Bonaventure's RC School,Forest Gate,Roman Catholic Diocese of Brentwood,Franciscan,United Kingdom,school
De La Salle Academy,Croxteth,Roman Catholic Archdiocese of Liverpool,Jean-Baptiste de La Salle,United Kingdom,academy school
The Cardinal Vaughan Memorial RC School,London,Roman Catholic Archdiocese of Westminster,"Henry Fitzalan-Howard, 15th Duke of Norfolk",United Kingdom,academy school
