col0,col1,col2,col3,col4
Svea Air Wing,UH-1 Iroquois,Sven Uggla,1938-07-01,Swedish Air Force
Västgöta Air Wing,DH.82 Tiger Moth,Claes Bjärle,1939-07-01,Swedish Air Force
Halland Air Wing,Vampire,Christian Nilsson,1944-07-01,Swedish Air Force
Västgöta Air Wing,DH.82 Tiger Moth,Gösta Hård,1939-07-01,Swedish Air Force
Svea Air Wing,UH-1 Iroquois,Georg Gärdin,1938-07-01,Swedish Air Force
Hälsinge Air Wing,Boeing-Vertol H-46 Sea Knight,Roland Magndahl,1945-07-01,Swedish Air Force
Uppland Air Wing,P-51 Mustang,Karl-Erik Karlsson,1944-01-01,Swedish Air Force
Hälsinge Air Wing,Boeing-Vertol H-46 Sea Knight,Gösta Seth,1945-07-01,Swedish Air Force
Uppland Air Wing,P-51 Mustang,Mats Nilsson,1944-01-01,Swedish Air Force
Hälsinge Air Wing,Boeing-Vertol H-46 Sea Knight,Olle Knutsson,1945-07-01,Swedish Air Force
