col0,col1,col2,col3
Télécom Paris,Conférence des Grandes Écoles,Laboratoire des sciences de l'ingénieur de l'informatique et de l'imagerie,Palaiseau
École nationale supérieure de l'électronique et de ses applications,Couperin Consortium,Information Processing and System Research Lab,Cergy
École Nationale Supérieure des Mines de Saint-Étienne,Conférence des Grandes Écoles,"Environment, City, Society",Saint-Étienne
Institut national d'études supérieures agronomiques de Montpellier,Couperin Consortium,Centre for Biology and Management of Populations,Montpellier
Institut d'études politiques de Lyon,Couperin Consortium,Equipe de recherche de Lyon en Sciences de l'Information et de la Communication,7th arrondissement of Lyon
Institut National des Sciences Appliquées de Rennes,Groupe INSA,Institut de recherche en informatique et systèmes aléatoires,Rennes
École des Ponts ParisTech,Top International Managers in Engineering,Centre international de recherche sur l'environnement et le développement,Marne-la-Vallée
École nationale d'ingénieurs de Brest,Renater,Laboratoire des Sciences et Techniques de l’Information de la Communication et de la Connaissance,Plouzané
Supélec,Top International Managers in Engineering,"Optical materials, photonics and systems laboratory",Gif-sur-Yvette
École normale supérieure Paris-Saclay,University of Paris-Saclay,Aimé Cotton Laboratory,Gif-sur-Yvette
École Centrale Paris,Top International Managers in Engineering,Paris Biotech Santé,Châtenay-Malabry
École Centrale de Lille,Top International Managers in Engineering,UCCS - Unité de catalyse et de chimie du solide de Lille,Villeneuve-d'Ascq
Institut national des sciences appliquées de Strasbourg,Groupe INSA,Laboratoire des sciences de l'ingénieur de l'informatique et de l'imagerie,Strasbourg
ESSEC Business School,Association of MBAs,"Théorie Economique, Modélisation et Applications",Singapore
Institut National des Sciences Appliquées de Rouen,Groupe INSA,Complexe de Recherche Interprofessionnel en Aérothermochimie,Saint-Étienne-du-Rouvray
Agro ParisTech,Conférence des Grandes Écoles,Centre international de recherche sur l'environnement et le développement,Paris
Institut d'études politiques de Bordeaux,Conférence des Grandes Écoles,Laboratoire Ades,Pessac
Institut National des Sciences Appliquées de Lyon,Groupe INSA,Center for Research in Image Acquisition and Treatment for Health,Villeurbanne
Mines ParisTech,ParisTech,Centre de Sociologie de l'Innovation,Paris
Sciences Po,Conférence des Grandes Écoles,center for History at Sciences Po,Paris
