col0,col1,col2,col3
Lega Nord Valle d'Aosta,federalism,Italy,Lega Nord
Future Korea Party,anti-communism,South Korea,United Future Party
Reform Party of the Northern Mariana Islands,populism,United States of America,American Reform Party
National Union Party,abolitionism,United States of America,Republican Party
Partia Razem,social democracy,Poland,Democracy in Europe Movement 2025
Patriotic Union,social democracy,Colombia,Foro de São Paulo
British Columbia New Democratic Party,social democracy,Canada,New Democratic Party
Hungarian-German Social Democratic Party,socialism,Czechoslovakia,Labour and Socialist International
National Union for Democracy and Renewal,social democracy,Chad,Socialist International
Osaka Restoration Association,Osaka Metropolis plan,Japan,Nippon Ishin no Kai
White Panther Party,Marxism,United States of America,Rainbow Coalition
Massachusetts Democratic Party,liberalism,United States of America,Democratic Party
