col0,col1,col2,col3,col4,col5,col6
French men's U23 national road cycling team 2014,French men's U23 national road cycling team 2013,Guillaume Martin,2014-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2015,French men's U23 national road cycling team 2014,Guillaume Martin,2015-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2014,French men's U23 national road cycling team 2013,Marc Sarreau,2014-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2015,French men's U23 national road cycling team 2014,Élie Gesbert,2015-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2014,French men's U23 national road cycling team 2013,Rémi Cavagna,2014-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2015,French men's U23 national road cycling team 2014,Franck Bonnamour,2015-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2014,French men's U23 national road cycling team 2013,Quentin Jauregui,2014-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2015,French men's U23 national road cycling team 2014,Marc Fournier,2015-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2014,French men's U23 national road cycling team 2013,Dylan Kowalski,2014-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2015,French men's U23 national road cycling team 2014,Dylan Kowalski,2015-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
French men's U23 national road cycling team 2014,French men's U23 national road cycling team 2013,Anthony Turgis,2014-12-31,under-23 sport,Pierre-Yves Chatelon,Pierre-Yves Chatelon
