col0,col1,col2
Daiichi Sankyo,Daiichi Sankyo (Germany),2005-01-01
Purdue Pharma,Purdue Pharma (Canada),1892-01-01
Laboratoires Servier,Servier (United Kingdom),1954-01-01
Kyowa Hakko Kirin,Kyowa Hakko Kirin (Singapore),1949-01-01
Vertex Pharmaceuticals,Vertex Pharmaceuticals (United Kingdom),1989-01-01
Actelion,Actelion (United States),1997-01-01
Shionogi,Shionogi Institute For Medical Science,1919-06-05
Orion Corporation,Orion Pharma (UK) Limited,1917-01-01
Eisai,Eisai (United States),1936-01-01
Astellas Pharma,Astellas Pharma (United States),2005-04-01
Ipsen,Ipsen (Ireland),1929-01-01
Sumitomo Dainippon Pharma,Dainippon Sumitomo Pharma (United States),1897-05-14
AbbVie,AbbVie (Germany),2013-01-01
Boehringer Ingelheim,Boehringer Ingelheim (United States),1885-01-01
Merck KGaA,Seven Seas Limited,1668-01-01
Bristol-Myers Squibb,Kosan Biosciences,1989-01-01
Mylan,Meda AB,1961-01-01
Perrigo,Élan,1887-01-01
Takeda Pharmaceutical Company,Shire plc,1925-01-29
Allergan plc,"Allergan, Inc.",2015-01-01
