col0,col1,col2,col3,col4,col5
Rowing at the 1988 Summer Olympics,International Olympic Committee,Misari Regatta,1988-09-25,Rowing at the 1984 Summer Olympics,Rowing at the 1988 Summer Olympics – Men's single sculls
Rowing at the 1948 Summer Olympics,International Olympic Committee,Henley-on-Thames,1948-08-09,Rowing at the 1936 Summer Olympics,Rowing at the 1948 Summer Olympics – Men's single sculls
Rowing at the 2000 Summer Olympics,International Olympic Committee,Sydney International Regatta Centre,2000-09-24,Rowing at the 1996 Summer Olympics,Rowing at the 2000 Summer Olympics – Men's coxless pair
Rowing at the 1924 Summer Olympics,International Olympic Committee,Argenteuil,1924-07-17,Rowing at the 1920 Summer Olympics,Rowing at the 1924 Summer Olympics – Men's coxed four
Speed skating at the 1988 Winter Olympics,International Skating Union,Olympic Oval,1988-02-28,Speed skating at the 1984 Winter Olympics,Speed skating at the 1988 Winter Olympics – Women's 3000 metres
Rowing at the 1968 Summer Olympics,International Olympic Committee,Pista Olímpica Virgilio Uribe,1968-10-19,Rowing at the 1964 Summer Olympics,Rowing at the 1968 Summer Olympics – Men's single sculls
Rowing at the 1906 Intercalated Games,International Olympic Committee,Palaio Faliro,1906-04-24,Rowing at the 1904 Summer Olympics,Rowing at the 1906 Intercalated Games – Men's single sculls
Rowing at the 1908 Summer Olympics,International Olympic Committee,Henley-on-Thames,1908-07-31,Rowing at the 1904 Summer Olympics,Rowing at the 1908 Summer Olympics – Men's coxless pair
Rowing at the 1976 Summer Olympics,International Olympic Committee,Île Notre-Dame,1976-07-25,Rowing at the 1972 Summer Olympics,Rowing at the 1976 Summer Olympics – Men's single sculls
Rowing at the 1936 Summer Olympics,International Olympic Committee,Berlin-Grünau Regatta Course,1936-08-14,Rowing at the 1932 Summer Olympics,Rowing at the 1936 Summer Olympics – Men's coxed pair
speed skating at the 2014 Winter Olympics,International Olympic Committee,Adler Arena Skating Center,2014-02-22,speed skating at the 2010 Winter Olympics,Speed skating at the 2014 Winter Olympics – Men's 1000 metres
Rowing at the 1972 Summer Olympics,International Olympic Committee,Oberschleißheim Regatta Course,1972-09-02,Rowing at the 1968 Summer Olympics,Rowing at the 1972 Summer Olympics – Men's coxed four
Rowing at the 1960 Summer Olympics,International Olympic Committee,Lake Albano,1960-09-03,Rowing at the 1956 Summer Olympics,Rowing at the 1960 Summer Olympics – Men's single sculls
