col0,col1,col2,col3
Rhein-Ruhr-Institut für Sozialforschung und Politikberatung,registered association,Germany,1980-01-01
Thule-Seminar,voluntary association,Germany,1980-01-01
Bits of Freedom,company,Netherlands,2000-01-01
Pro Familia,registered association,Germany,1952-01-01
Pro Asyl,registered association,Germany,1986-01-01
arabich sprache,registered association,Germany,1816-01-01
Neuer Sächsischer Kunstverein,registered association,Germany,1990-01-01
Neuer Leipziger Kunstverein,registered association,Germany,1990-01-01
Naturhistorischer Verein der Rheinlande und Westfalens,registered association,Germany,1833-01-01
Naturfreundejugend Deutschlands,registered association,Germany,1926-01-01
