col0,col1,col2,col3,col4
Nirvana,Nirvana discography,Template:Nirvana,Rock and Roll Hall of Fame,The Stooges
Queen,Queen discography,Template:Queen,Rock and Roll Hall of Fame,Cream
The Rolling Stones,The Rolling Stones discography,Template:The Rolling Stones,Grammy Hall of Fame,Robert Johnson
The Who,The Who discography,Template:The Who,Rock and Roll Hall of Fame,The Kinks
Nirvana,Nirvana discography,Template:Nirvana,Rock and Roll Hall of Fame,Black Sabbath
The Rolling Stones,The Rolling Stones discography,Template:The Rolling Stones,Grammy Hall of Fame,John Lee Hooker
The Who,The Who discography,Template:The Who,Rock and Roll Hall of Fame,James Brown
Queen,Queen discography,Template:Queen,Rock and Roll Hall of Fame,Jimi Hendrix
The Who,The Who discography,Template:The Who,Rock and Roll Hall of Fame,Jimi Hendrix
The Rolling Stones,The Rolling Stones discography,Template:The Rolling Stones,Rock and Roll Hall of Fame,Chuck Berry
Nirvana,Nirvana discography,Template:Nirvana,Rock and Roll Hall of Fame,Led Zeppelin
