col0,col1,col2,col3,col4
Electronic,Manchester,1989-01-01,Bernard Sumner,alternative dance
213,Long Beach,1991-01-01,Snoop Dogg,g-funk
Fantômas,California,1998-01-01,Mike Patton,avant-garde metal
Bad Company,Westminster,1973-01-01,Paul Rodgers,blues rock
"Emerson, Lake & Palmer",Croydon,1970-01-01,Keith Emerson,progressive rock
Allen-Lande,United States of America,2005-01-01,Jørn Lande,heavy metal
Journey,San Francisco,1973-01-01,Steve Perry,rock music
Broken Bells,Los Angeles,2009-01-01,James Mercer,alternative rock
The Dead Weather,Nashville,2009-01-01,Alison Mosshart,alternative rock
Nick Cave and the Bad Seeds,Melbourne,1983-01-01,Thomas Wydler,alternative rock
The New Pornographers,Vancouver,1999-01-01,A. C. Newman,alternative rock
Tribalistas,Brazil,2002-01-01,Marisa Monte,alternative rock
Mad Season,Seattle,1994-01-01,Layne Staley,grunge
The Power Station,New York City,1984-01-01,Tony Thompson,new wave
PorSuiGieco,Argentina,1974-01-01,Charly García,folk rock
case/lang/veirs,Portland,2016-01-01,k.d. lang,folk rock
Art of Anarchy,United States of America,2011-01-01,John Moyer,hard rock
Hollywood Vampires,Los Angeles,2015-01-01,Johnny Depp,hard rock
Serú Girán,Buenos Aires,1978-01-01,Charly García,progressive rock
Queen + Adam Lambert,London,2011-01-01,Brian May,rock music
