col0,col1,col2,col3
Caffyns,Eastbourne,retail,United Kingdom
Morrisons,Bradford,retail,United Kingdom
Safeway,London,retail,United Kingdom
Man Group,London,hedge fund,United Kingdom
Finnlines,Helsinki,maritime transport,Finland
Autonomy Corporation,San Francisco,software industry,United States of America
TalkTalk Group,London,telecommunications industry,United Kingdom
Inmarsat,London,satellite communication,United Kingdom
Guardian Media Group,London,publishing,United Kingdom
Virgin Group,London,air cargo,United Kingdom
Qinetiq,Farnborough,aerospace industry,United Kingdom
