col0,col1,col2,col3,col4
South Carolina State Arsenal,United States of America,arsenal,Charleston,place listed on the National Register of Historic Places
South Carolina State Armory,United States of America,arsenal,South Carolina,place listed on the National Register of Historic Places
Scottdale Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Ridgway Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Pottsville Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Pikesville Armory,United States of America,arsenal,Maryland,place listed on the National Register of Historic Places
Pawtucket Armory,United States of America,arsenal,Pawtucket,place listed on the National Register of Historic Places
Oil City Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
National Guard Armory,United States of America,arsenal,Arkansas,place listed on the National Register of Historic Places
Mount Pleasant Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
Media Armory,United States of America,arsenal,Pennsylvania,place listed on the National Register of Historic Places
