col0,col1,col2,col3
Sermilik Station,1970-01-01,Greenland,Sermersooq
Kevo Subarctic Research Institute,1958-01-01,Finland,Utsjoki
Abisko research station,1903-01-01,Sweden,Kiruna Municipality
Zackenberg Station,1997-01-01,Greenland,Northeast Greenland National Park
Leskino,1934-01-01,Russia,Taymyrsky Dolgano-Nenetsky District
Mekrijärvi research center,1924-01-01,Finland,Ilomantsi
Station biologique de Roscoff,1872-01-01,France,Roscoff
Tvärminne Zoological Station,1902-01-01,Finland,Hanko
Panguana,1968-01-01,Peru,Huanuco
Oulanka Research Station,1966-01-01,Finland,Kuusamo
Post Office Research Station,1925-01-01,United Kingdom,London Borough of Brent
University Marine Biological Station Millport,1885-01-01,United Kingdom,North Ayrshire
