col0,col1,col2
AbbVie (Bahamas),Nassau,Bahamas
Mylan (India),Hyderabad,India
Merck (India),Mumbai,India
Mylan (Australia),Melbourne,Australia
Mylan (South Africa),"Modderfontein, Gauteng",South Africa
Boehringer Ingelheim (Latvia),Riga,Latvia
Boehringer Ingelheim,Ingelheim am Rhein,Germany
STADA Arzneimittel,Bad Vilbel,Germany
Vetter Pharma,Ravensburg,Germany
Mylan (Germany),Darmstadt,Germany
Merck KGaA,Darmstadt,Germany
Celgene (Germany),Munich,Germany
AbbVie (Germany),Wiesbaden,Germany
Tasly,Tianjin,People's Republic of China
Merck (United Kingdom),Feltham,United Kingdom
AbbVie (Bermuda),Hamilton,United Kingdom
Mylan (United Kingdom),Hatfield,United Kingdom
Amgen (United Kingdom),London,United Kingdom
Astellas Pharma (United Kingdom),London,United Kingdom
Laboratoires Servier,Suresnes,France
Biotic Phocea Laboratories,Marseille,France
Sanofi,Paris,France
Ipsen,Paris,France
Actelion Pharmaceuticals Nederland BV,Woerden,Netherlands
Celgene (Switzerland),Boudry,Switzerland
Actelion,Allschwil,Switzerland
Mylan (Switzerland),Zürich,Switzerland
Sanitas,Kaunas,Lithuania
Merck Sharp & Dohme (Lithuania),Vilnius,Lithuania
Mylan (Sweden),Stockholm,Sweden
Orion Corporation,Niittykumpu,Finland
Verastem Oncology,Needham,United States of America
Celgene,Summit,United States of America
"Pacira Pharmaceuticals, Inc.",Parsippany-Troy Hills,United States of America
