col0,col1,col2,col3,col4
China Airlines Flight 120,Japan,0,Naha Airport,China Airlines
American Airlines Flight 1420,United States of America,11,Bill and Hillary Clinton National Airport,American Airlines
British Airways Flight 38,United Kingdom,0,Heathrow Airport,British Airways
2010 Filair Let L-410 crash,Democratic Republic of the Congo,20,Bandundu Province,Filair
Nigeria Airways Flight 2120,Saudi Arabia,261,King Abdulaziz International Airport,Nolisair
Kolavia Flight 348,Russia,3,Surgut International Airport,Kogalymavia
Allied Air Flight 111,Ghana,0,Kotoka International Airport,Allied Air
2011 United Nations Bombardier CRJ-100 crash,Democratic Republic of the Congo,32,N'djili Airport,Georgian Airways
Sudan Airways Flight 109,Sudan,30,Khartoum International Airport,Sudan Airways
Merpati Nusantara Airlines Flight 836,Indonesia,0,Rendani Airport,Merpati Nusantara Airlines
1955 MacArthur Airport United Airlines crash,United States of America,3,Long Island MacArthur Airport,United Airlines
Air India Flight 855,India,213,Arabian Sea,Air India
Alrosa Flight 514,Russia,0,Komi Republic,ALROSA
Dagestan Airlines Flight 372,Russia,2,Domodedovo International Airport,Dagestan Airlines
Flight 2605 by Western Airlines,Mexico,72,Mexico City International Airport,Western Airlines
RwandAir Flight 205,Rwanda,1,Kigali International Airport,JetLink Express
UTair Flight 471,Russia,6,Kurumoch International Airport,UTair Aviation
TWA Flight 903,Egypt,55,Western Desert,Trans World Airlines
Ethiopian Airlines Flight 604,Ethiopia,35,Bahir Dar Airport,Ethiopian Airlines
Emirates Flight 407,Australia,0,Melbourne Airport,Emirates
