col0,col1,col2,col3,col4
Rivers State House of Assembly,32,32,Rivers State,member of the Rivers State House of Assembly
Ondo State House of Assembly,26,26,Ondo State,member of the Ondo State House of Assembly
Ogun State House Of Assembly,26,26,Ogun State,member of the Ogun State House of Assembly
Nasarawa State House of Assembly,24,24,Nasarawa State,member of the Nasarawa State House of Assembly
Lagos State House of Assembly,40,40,Lagos,member of the Lagos State House of Assembly
Kwara State House of Assembly,24,24,Kwara State,member of the Kwara State House of Assembly
Kogi State House of Assembly,25,25,Kogi State,member of the Kogi State House of Assembly
Kebbi State House of Assembly,24,24,Kebbi State,member of the Kebbi State House of Assembly
Kano State House of Assembly,40,40,Kano State,member of the Kano State House of Assembly
Jigawa State House of Assembly,30,30,Jigawa State,member of the Jigawa State House of Assembly
Gombe State House of Assembly,24,24,Gombe State,member of the Gombe State House of Assembly
Enugu State House of Assembly,24,24,Enugu State,member of the Enugu State House of Assembly
Ekiti State House of Assembly,26,26,Ekiti State,member of the Ekiti State House of Assembly
