col0,col1,col2
Communauté de communes Arnon Boischaut Cher,Cher,Communauté de communes des Rives du Cher
Communauté de communes de la Haute Ariège,Ariège,Communauté de communes des Vallées d'Ax
Communauté de communes du Val Briard,Seine-et-Marne,Communauté de communes de la Brie Boisée
Communauté de communes de l'Est de la Somme,Aisne,Communauté de communes du Pays Hamois
Haute-Corrèze Communauté,Corrèze,Communauté de communes des Sources de la Creuse
Communauté de communes de la Brie des Rivières et Châteaux,Seine-et-Marne,Communauté de communes de la Région du Châtelet-en-Brie
Communauté de communes Isigny-Omaha Intercom,Calvados,Communauté de communes Intercom Balleroy Le Molay-Littry
communauté de communes Loches Sud Touraine,Indre-et-Loire,Communauté de communes de Montrésor
Communauté de communes Élan Limousin Avenir Nature,Haute-Vienne,Communauté de communes Porte d'Occitanie
Communauté de communes Vierzon-Sologne-Berry,Cher,Communauté de communes Vierzon Pays des cinq Rivières
Communauté de communes Le Tonnerrois en Bourgogne,Yonne,Communauté de communes du Canton d'Ancy-le-Franc
Communauté de communes des Ballons des Hautes-Vosges,Vosges,Communauté de communes des Ballons des Hautes Vosges et de la Source de la Moselle
Communauté de communes des Sept Vallées,Pas-de-Calais,Communauté de communes de l'Hesdinois
Communauté de communes du Pays de Marmoutier-Sommerau,Bas-Rhin,Communauté de communes de la Sommerau
Communauté de communes Osartis Marquion,Pas-de-Calais,Communauté de communes Osartis
Communauté de communes Bruyères - Vallons des Vosges,Vosges,Communauté de communes de l'Arentèle-Durbion-Padozel
Communauté de communes du Sud-Artois,Pas-de-Calais,Communauté de communes du canton de Bertincourt
Communauté de communes du Guillestrois et du Queyras,Hautes-Alpes,Communauté de communes du Guillestrois
Communauté de communes Serre-Ponçon Val d'Avance,Hautes-Alpes,Communauté de communes de la vallée de l'Avance
Communauté de communes de Serre-Ponçon,Hautes-Alpes,Communauté de communes du Savinois-Serre-Ponçon
