col0,col1,col2,col3
Order of Suvorov,Order of Alexander Nevsky,Alexander Suvorov,"Order of Suvorov, 1st class"
Order of Leopold,Order of Saint Stephen of Hungary,"Leopold II, Holy Roman Emperor",Grand Cross of the Imperial Order of Leopold
Order of Prince Henry,Military Order of Saint James of the Sword,"Henry, the Navigator",Honorary Member of the Order of Prince Henry
Order of the Cross of Terra Mariana,Order of the National Coat of Arms,Terra Mariana,Collar of the Order of the Cross of Terra Mariana
Order of Prince Henry,Military Order of Saint James of the Sword,"Henry, the Navigator",Commander of the Order of Prince Henry
Order of the White Eagle,Order of Saint Prince Lazarus,Serbian eagle,Knight of the Order of the White Eagle
Order of St. Anna,"Order of St. Vladimir, 2nd class",Grand Duchess Anna Petrovna of Russia,Knight second class in brilliants of the Order of Saint Anne
Order of Ushakov,Order of Suvorov,Fyodor Ushakov,"Order of Ushakov, 1st class"
Royal Order of the Polar Star,Royal Order of the Sword,Polaris,Order of the Polar Star - Commander's Grand Cross
Order of St. Anna,"Order of St. Vladimir, 2nd class",Grand Duchess Anna Petrovna of Russia,"Order of Saint Anna, 1st class"
Order of George I,Order of Saints George and Constantine,George I of Greece,Grand Cross of the Order of George I
