col0,col1,col2
Database Center for Life Science,Toshihisa Takagi,Research Organization of Information and Systems
Digital Commons Lab,Maurizio Napolitano,Fondazione Bruno Kessler
Institute for Informatics and Automation Problems,Hrachya Astsatryan,National Academy of Sciences of Armenia
German Research Center for Artificial Intelligence,Jana Koehler,Kaiserslautern-Saarbrücken Computer Science Cluster
Research Institute of Text Analysis and Applications,Gregorio Rodríguez Herrera,University of Las Palmas de Gran Canaria
Centro de Investigación Médica Aplicada (CIMA),Pilar Civeira,University of Navarre
Linus Pauling Institute,Richard van Breemen,Oregon State University
Institute of Information Systems of the University of Bern,Thomas Myrach,University of Bern
Endangered Languages Archive,Mandana Seyfeddinipur,School of Oriental and African Studies
African Studies Centre Leiden,Jan-Bart Gewald,Leiden University
