col0,col1,col2,col3,col4
Sparda-Bank West,16.01,852,Eingetragene Genossenschaft,CashPool
Volksbank Sprockhövel,15.2,105,Eingetragene Genossenschaft,Bankcard-Servicenetz
VR Bank Fulda,14.97,257,Eingetragene Genossenschaft,Bankcard-Servicenetz
Sparda-Bank Südwest,15.05,779,Eingetragene Genossenschaft,Bankcard-Servicenetz
Sparda-Bank Baden-Württemberg,15.08,699,Eingetragene Genossenschaft,Bankcard-Servicenetz
Sparda-Bank West,16.01,852,Eingetragene Genossenschaft,Bankcard-Servicenetz
PSD Bank Nürnberg,13.88,206,Eingetragene Genossenschaft,PSD Bank
Volksbank Mittelhessen,14.08,1400,Eingetragene Genossenschaft,Genossenschaftsverband
Berliner Volksbank,14.37,1793,Eingetragene Genossenschaft,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken
Volksbank Mittelhessen,14.08,1400,Eingetragene Genossenschaft,Bankcard-Servicenetz
PSD Bank Nürnberg,13.88,206,Eingetragene Genossenschaft,Bankcard-Servicenetz
