col0,col1,col2,col3,col4
Ariège,153153,constituency,geography of Ariège,The Nuttall Encyclopædia
Haute-Vienne,374426,department of France,geography of Haute-Vienne,Brockhaus and Efron Encyclopedic Dictionary
Vienne,436876,department of France,geography of Vienne,Brockhaus and Efron Encyclopedic Dictionary
Vendée,675247,department of France,geography of Vendée,Brockhaus and Efron Encyclopedic Dictionary
Vaucluse,559479,department of France,geography of Vaucluse,Brockhaus and Efron Encyclopedic Dictionary
Var,1058740,department of France,geography of Var,Brockhaus and Efron Encyclopedic Dictionary
Territoire de Belfort,142622,department of France,geography of Territoire de Belfort,Brockhaus and Efron Encyclopedic Dictionary
Tarn,387890,department of France,geography of Tarn,Brockhaus and Efron Encyclopedic Dictionary
Somme,572443,department of France,geography of Somme,Brockhaus and Efron Encyclopedic Dictionary
Pyrénées-Atlantiques,677309,department of France,geography of Pyrénées-Atlantiques,Brockhaus and Efron Encyclopedic Dictionary
Hautes-Pyrénées,228530,department of France,geography of Hautes-Pyrénées,Brockhaus and Efron Encyclopedic Dictionary
Puy-de-Dôme,653742,department of France,geography of Puy-de-Dôme,Brockhaus and Efron Encyclopedic Dictionary
Orne,283372,department of France,geography of Orne,Brockhaus and Efron Encyclopedic Dictionary
