col0,col1,col2,col3
Actelion,Switzerland,Actelion (United States),Allschwil
Purdue Pharma,United States of America,Purdue Pharma (Canada),Stamford
Takeda Pharmaceutical Company,Japan,Shire plc,Ōsaka
Pfizer,United States of America,G. D. Searle & Company,Manhattan
Merck KGaA,Germany,Seven Seas Limited,Darmstadt
Eisai,Japan,Eisai (Germany),Tokyo
Daiichi Sankyo,Japan,Daiichi Sankyo (Germany),Tokyo
Eisai,Japan,Eisai (United States),Tokyo
Vertex Pharmaceuticals,United States of America,Vertex Pharmaceuticals (United Kingdom),Boston
Sanofi,France,Zentiva,Paris
Ipsen,France,Ipsen (Spain),Paris
Sanofi,France,Sanofi-Aventis Korea,Paris
Ipsen,France,Ipsen (Ireland),Paris
Sanofi,France,Zentiva,Paris
Bristol-Myers Squibb,United States of America,Kosan Biosciences,New York City
