col0,col1,col2,col3,col4
Fire fighter dies from aortic dissection during shift - Massachusetts,2014-07-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Lieutenant suffers heart attack during fire suppression operations at residential fire and dies ten days later - Georgia,2015-10-08,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2003-0248-2940, Florida Department of Agriculture and Consumer Services, Gainesville, Florida",2004-06-01,perfluorooctanoic acid,Max J. Kiefer,National Institute for Occupational Safety and Health
In-depth survey report: control technology for dowel drilling in concrete,2011-05-01,quartz,Alan S. Echt,National Institute for Occupational Safety and Health
In-depth survey report: engineering control of silica dust from stone countertop fabrication and installation,2016-01-01,quartz,Alan S. Echt,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2008-0155-3131, lung function (spirometry) testing in employees at a flavorings manufacturing plant - Indiana",2011-06-01,"butane-2,3-dione",Kathleen Kreiss,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2001-0067-2896, Somerset County assistance office, Somerset, Pennsylvania",2003-03-01,carbon dioxide,Kathleen Kreiss,National Institute for Occupational Safety and Health
"In-depth survey report: spray polyurethane foam chemical exposures during spray application, All About Kids, Crestwood, KY",2014-12-01,(RS)-propylene glycol,David A. Marlow,National Institute for Occupational Safety and Health
Follow up evaluation of design changes to a houseboat generator exhaust stack system,2004-07-01,carbon monoxide,David A. Marlow,National Institute for Occupational Safety and Health
Health hazard evaluation report: evaluation of dermal exposure to polycyclic aromatic hydrocarbons in fire fighters (summary),2013-12-01,benzene,Charles A. Mueller,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2002-0157-2887, City of Cleveland Heights, Cleveland Heights, Ohio",2003-08-01,carbon monoxide,Gregory A. Burr,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2011-0004-3128, evaluating a persistent nuisance odor in an office building - Maryland",2011-05-01,carbon dioxide,Gregory A. Burr,National Institute for Occupational Safety and Health
Fire fighter suffers fatal heart attack after returning home from fire - Iowa,2002-03-13,occupational disease,Mitchell Singal,National Institute for Occupational Safety and Health
Fire fighter dies in sleep during his work shift - Michigan,2001-10-22,occupational cardiovascular disease,Tommy N. Baldwin,National Institute for Occupational Safety and Health
Fire chief suffers sudden cardiac death after stretching a hoseline at a structure fire - Mississippi,2009-09-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Lieutenant suffers sudden cardiac death at home following 24-hr shift - Illinois,2010-11-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Fire fighter suffers a fatal heart attack during wildland fire operations - Oklahoma,2009-07-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
A paint maker dies from exposure to dichloromethane (methylene chloride) while cleaning a paint tank,2012-10-22,methanol,California Department of Public Health,National Institute for Occupational Safety and Health
"In-depth survey report: a laboratory evaluation of a local exhaust ventilation system on a Caterpillar cold milling machine at Caterpillar, Minnesota",2012-11-01,quartz,Stanley A. Shulman,National Institute for Occupational Safety and Health
Survey report: control technology evaluation for controlling worker exposure to asphalt fumes from roofing kettles: kettle opera,2004-03-01,benzene,David A. Marlow,National Institute for Occupational Safety and Health
"Evaluation of the ""Fresh Air Exhaust (TM)"" system to reduce carbon monoxide exposure during motor boating and wake surfing (Lake Austin, Texas)",2004-08-01,carbon monoxide,David A. Marlow,National Institute for Occupational Safety and Health
Industrial hygiene summary report for workers exposed to polychlorinated biphenyls (PCBs) in a capacitor manufacturing plant (plant 3; 1958-1977),2004-03-01,polychlorinated biphenyl with 42% chlorine,Martha A. Waters,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2004-0239-3014, MK Ballistic Systems, Hollister, California",2006-09-01,magnesium,Steven A. Lee,National Institute for Occupational Safety and Health
"An evaluation of catalytic emission controls to prevent carbon monoxide poisonings from houseboat generator exhaust, report no. CT-171-05vv",2007-03-01,carbon monoxide,Kevin H. Dunn,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2007-0163-3062, investigation of employee symptoms at an indoor waterpark, Great Wolf Lodge, Mason, Ohio",2008-06-01,nitrogen trichloride,Daniel Almaguer,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2005-0188-3038, L-3 Communications, Budd Lake, New Jersey",2007-03-01,carbon dioxide,Randy L. Tubbs,National Institute for Occupational Safety and Health
Fire fighter suffers cardiac arrest while responding to a structure fire - Texas,2002-09-09,occupational cardiovascular disease,Tommy N. Baldwin,National Institute for Occupational Safety and Health
Fire fighter suffers a heart attack and dies after completing work capacity test - Idaho,2008-01-28,public security,Tommy N. Baldwin,National Institute for Occupational Safety and Health
Fire fighter suffers sudden cardiac death while working at a grass fire - Mississippi,2014-08-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Career fire fighter dies during fire-fighting operations at a multi-family residential structure fire - Massachusetts,2013-04-25,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Volunteer fire fighter suffers a fatal cardiac event after fire suppression training - Pennsylvania,2010-12-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Fire fighter suffers fatal heart attack while performing driver/operator duties at a motor vehicle crash - South Carolina,2013-01-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Fire fighter suffers sudden cardiac death during rural water supply training - Illinois,2009-04-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
