col0,col1,col2,col3,col4
1990 Plume d’Or,France national badminton team,mixed team,1989 Plume d’Or,badminton
1989 Plume d’Or,France national badminton team,mixed team,1988 Plume d’Or,badminton
1988 Plume d’Or,France national badminton team,mixed team,1987 Plume d’Or,badminton
1987 Plume d’Or,France national badminton team,mixed team,1986 Plume d’Or,badminton
1986 Plume d’Or,France national badminton team,mixed team,1985 Plume d’Or,badminton
1985 Plume d’Or,France national badminton team,mixed team,1984 Plume d’Or,badminton
1984 Plume d’Or,France national badminton team,mixed team,1982 Plume d’Or,badminton
1982 Plume d’Or,France national badminton team,mixed team,1981 Plume d’Or,badminton
1981 Plume d’Or,France national badminton team,mixed team,1980 Plume d’Or,badminton
1980 Plume d’Or,France national badminton team,mixed team,1979 Plume d’Or,badminton
1979 Plume d’Or,France national badminton team,mixed team,1978 Plume d’Or,badminton
1978 Plume d’Or,France national badminton team,mixed team,1977 Plume d’Or,badminton
1977 Plume d’Or,France national badminton team,mixed team,1976 Plume d’Or,badminton
1976 Plume d’Or,France national badminton team,mixed team,1974 Plume d’Or,badminton
1974 Plume d’Or,France national badminton team,mixed team,1973 Plume d’Or,badminton
1973 Plume d’Or,France national badminton team,mixed team,1972 Middle European Badminton Championships,badminton
1994 Plume d’Or,France national badminton team,mixed team,1993 Plume d’Or,badminton
1993 Plume d’Or,France national badminton team,mixed team,1992 Plume d’Or,badminton
1992 Plume d’Or,France national badminton team,mixed team,1991 Plume d’Or,badminton
1991 Plume d’Or,Gibraltar national badminton team,mixed team,1990 Plume d’Or,badminton
