col0,col1,col2
Colegio Oficial de Aparejadores y Arquitectos Técnicos de Madrid,Spain,Colegio Oficial de Aparejadores y Arquitectos Técnicos de Madrid building
Philippine Pharmacists Association,Philippines,Sampaloc
Institution of Metallurgists,United Kingdom,Belgrave Square
Dutch Dairymen Board,Netherlands,Nes
Collegium of Black Women Philosophers,United States of America,Pennsylvania State University
Institution of Royal Engineers,United Kingdom,Chatham
Associació d'Il·lustradors de Catalunya,Spain,Valencia
Philippine Dental Association,Philippines,Makati
Union des producteurs de cinéma,France,Paris
Société des architectes diplômés par le gouvernement,France,Paris
Association des directeurs et personnels de direction des bibliothèques universitaires et de la documentation,France,Paris
Royal Faculty of Procurators in Glasgow,United Kingdom,Procurators' Hall
Royal Australian College of General Practitioners,Australia,East Melbourne
British Dental Association,United Kingdom,Wimpole Street
Art Libraries Society of North America,Canada,Oak Creek
Law Council of Australia,Australia,Braddon
Association of Black Women Historians,United States of America,Silver Spring
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,United States of America,Pasadena
Poultry Science Association,United States of America,Champaign
Society for Academic Emergency Medicine,United States of America,Des Plaines
