col0,col1,col2,col3
Canberra Symphony Orchestra,1950-01-01,Nicholas Milton,Australia
Royal Melbourne Philharmonic,1853-01-01,Andrew Wailes,Australia
London Chamber Orchestra,1921-01-01,Christopher Warren-Green,United Kingdom
British Paraorchestra,2012-01-01,Charles Hazlewood,United Kingdom
Boston Civic Symphony,1924-01-01,Max Hobart,United States of America
Santa Barbara Symphony Orchestra,1953-01-01,Nir Kabaretti,United States of America
Portland Chamber Orchestra,1947-01-01,Yaacov Bergman,United States of America
Augusta Symphony Orchestra,1919-01-01,Paul Ross,United States of America
Sacramento Philharmonic Orchestra,1948-01-01,Michael Morgan,United States of America
Madison Symphony Orchestra,1925-01-01,John DeMain,United States of America
Orchestra 2001,1988-01-01,James Freeman,United States of America
Nashville Symphony,1946-01-01,Giancarlo Guerrero,United States of America
Erie Philharmonic,1913-01-01,Daniel Meyer,United States of America
