col0,col1,col2,col3,col4
1964 Winter Universiade,1964-01-01,International University Sports Federation,Czech Republic,winter sport
1968 Winter Universiade,1968-01-01,International University Sports Federation,France,winter sport
1960 Winter Universiade,1960-01-01,International University Sports Federation,France,winter sport
1962 Winter Universiade,1962-01-01,International University Sports Federation,Switzerland,winter sport
2013 Winter Universiade,2013-01-01,International University Sports Federation,Italy,winter sport
1993 Winter Universiade,1993-01-01,International University Sports Federation,Poland,winter sport
2001 Winter Universiade,2001-01-01,International University Sports Federation,Poland,winter sport
1972 Winter Universiade,1972-01-01,International University Sports Federation,United States of America,winter sport
1995 Winter Universiade,1995-01-01,International University Sports Federation,Spain,winter sport
1981 Winter Universiade,1981-01-01,International University Sports Federation,Spain,winter sport
1991 Winter Universiade,1991-01-01,International University Sports Federation,Japan,winter sport
2017 Asian Winter Games,2017-02-01,Olympic Council of Asia,Japan,figure skating
American football at the 2005 World Games,2005-01-01,International World Games Association,Germany,American football
2019 Winter Universiade,2019-03-01,International University Sports Federation,Russia,figure skating
2013 European Youth Summer Olympic Festival,2013-01-01,European Olympic Committees,Netherlands,athletics
